id,brand,name,format,style,mg,type,sokstrang
vid-watermelon-mild-mini,Vid,Watermelon Mild Mini,Mini,White,"4,8 mg/prilla · 12 mg/g",vit,Vid Watermelon Mild Mini
vont-fresh-mint,Vont,Fresh Mint,Slim,White,"9 mg/prilla · 12,9 mg/g",vit,Vont Fresh Mint
vont-fresh-mint-mild,Vont,Fresh Mint Mild,Slim,White,"4 mg/prilla · 5,7 mg/g",vit,Vont Fresh Mint Mild
vont-juicy-berry-normalstark,Vont,Juicy Berry normalstark,Slim,White,"6 mg/prilla · 8,6 mg/g",vit,Vont Juicy Berry normalstark
vont-juicy-berry-stark,Vont,Juicy Berry Stark,Slim,White,"12 mg/prilla · 17,1 mg/g",vit,Vont Juicy Berry Stark
vont-sweet-melon,Vont,Sweet Melon,Slim,White,"6 mg/prilla · 8,6 mg/g",vit,Vont Sweet Melon
vont-sweet-melon-stark,Vont,Sweet Melon Stark,Slim,White,"12 mg/prilla · 17,1 mg/g",vit,Vont Sweet Melon Stark
xqs-arctic-freeze-slim,XQS,Arctic Freeze Slim,Slim,White,"9,6 mg/prilla · 16 mg/g",vit,XQS Arctic Freeze Slim
xqs-arctic-freeze-stark,XQS,Arctic Freeze Stark,Slim,White,"11,2 mg/prilla · 16 mg/g",vit,XQS Arctic Freeze Stark
xqs-berrynana-twist-8mg,XQS,Berrynana Twist 8mg,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Berrynana Twist 8mg
xqs-black-cherry,XQS,Black Cherry,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Black Cherry
xqs-black-cherry-4mg,XQS,Black Cherry 4mg,Slim,White,4 mg/prilla · 8 mg/g,vit,XQS Black Cherry 4mg
xqs-blueberry-mint,XQS,Blueberry Mint,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Blueberry Mint
xqs-cactus-sour-strong,XQS,Cactus Sour Strong,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Cactus Sour Strong
xqs-chili-mango,XQS,Chili Mango,Slim,White,"9,6 mg/prilla · 16 mg/g",vit,XQS Chili Mango
xqs-citrus-cooling,XQS,Citrus Cooling,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Citrus Cooling
xqs-cool-ice-mini,XQS,Cool Ice Mini,Mini,White,"4,2 mg/prilla · 12 mg/g",vit,XQS Cool Ice Mini
xqs-cool-ice-slim,XQS,Cool Ice Slim,Slim,White,"9,6 mg/prilla · 16 mg/g",vit,XQS Cool Ice Slim
xqs-dark-banana-8mg-4,Xqs,Dark Banana 8mg 4,Slim,White,8 mg/prilla · 8 mg/g,vit,Xqs Dark Banana 8mg 4
xqs-elderflower,XQS,Elderflower,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Elderflower
xqs-elderflower-4mg,XQS,Elderflower 4mg,Slim,White,4 mg/prilla · 8 mg/g,vit,XQS Elderflower 4mg
xqs-fizzy-cola,XQS,Fizzy Cola,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Fizzy Cola
xqs-fizzy-peach-8mg-4,Xqs,Fizzy Peach 8mg 4,Slim,White,8 mg/prilla · 800 mg/g,vit,Xqs Fizzy Peach 8mg 4
xqs-fruzzle-strong,XQS,Fruzzle Strong,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Fruzzle Strong
xqs-hallon-lakrits-8-mg-4,XQS,Hallon Lakrits 8 mg 4,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Hallon Lakrits 8 mg 4
xqs-hallonsoda,XQS,Hallonsoda,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Hallonsoda
xqs-orange-apple,XQS,Orange Apple,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Orange Apple
xqs-orange-apple-4mg,XQS,Orange Apple 4mg,Slim,White,4 mg/prilla · 8 mg/g,vit,XQS Orange Apple 4mg
xqs-soft-toffee,XQS,Soft Toffee,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Soft Toffee
xqs-spearmint-8mg,XQS,Spearmint 8mg,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Spearmint 8mg
xqs-strawberry-kiwi-8mg,XQS,Strawberry Kiwi 8mg,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Strawberry Kiwi 8mg
xqs-tropical,XQS,Tropical,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Tropical
xqs-tropical-4-mg-2,XQS,Tropical 4 mg 2,Slim,White,4 mg/prilla · 8 mg/g,vit,XQS Tropical 4 mg 2
xqs-twin-apple,XQS,Twin Apple,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Twin Apple
xqs-wintergreen,XQS,Wintergreen,Slim,White,8 mg/prilla · 16 mg/g,vit,XQS Wintergreen
zafari-blood-orange,Zafari,Blood Orange,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Blood Orange
zafari-carribean-guava,Zafari,Carribean Guava,Slim,White,6 mg/prilla · 12 mg/g,vit,Zafari Carribean Guava
zafari-desert-mint,Zafari,Desert Mint,Slim,White,6 mg/prilla · 12 mg/g,vit,Zafari Desert Mint
zafari-desert-mint-light,Zafari,Desert Mint (light),Slim,White,4 mg/prilla · 8 mg/g,vit,Zafari Desert Mint (light)
zafari-desert-mint-stark,Zafari,Desert Mint Stark,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Desert Mint Stark
zafari-fresh-mint,Zafari,Fresh Mint,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Fresh Mint
zafari-fresh-mint-rainbow-edition,Zafari,Fresh Mint - Rainbow edition,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Fresh Mint - Rainbow edition
zafari-ice-cold-mint,Zafari,Ice Cold Mint,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Ice Cold Mint
zafari-red-sea-orange,Zafari,Red Sea Orange,Slim,White,6 mg/prilla · 12 mg/g,vit,Zafari Red Sea Orange
zafari-red-sea-orange-light,Zafari,Red Sea Orange (Light),Slim,White,4 mg/prilla · 8 mg/g,vit,Zafari Red Sea Orange (Light)
zafari-red-sea-orange-stark,Zafari,Red Sea Orange Stark,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Red Sea Orange Stark
zafari-sauna-tar,Zafari,Sauna Tar,Slim,White,6 mg/prilla · 12 mg/g,vit,Zafari Sauna Tar
zafari-sauna-tar-mild,Zafari,Sauna Tar Mild,Slim,White,4 mg/prilla · 8 mg/g,vit,Zafari Sauna Tar Mild
zafari-spicy-mango,Zafari,Spicy Mango,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Spicy Mango
zafari-sunset-mango,Zafari,Sunset Mango,Slim,White,6 mg/prilla · 12 mg/g,vit,Zafari Sunset Mango
zafari-sunset-mango-light,Zafari,Sunset Mango (light),Slim,White,4 mg/prilla · 8 mg/g,vit,Zafari Sunset Mango (light)
zafari-sunset-mango-stark,Zafari,Sunset Mango Stark,Slim,White,10 mg/prilla · 20 mg/g,vit,Zafari Sunset Mango Stark
zixs-bergamott-original,Zixs,Bergamott Original,Large,White,"6,4 mg/prilla · 8 mg/g",vit,Zixs Bergamott Original
zixs-ice-stark,Zixs,Ice Stark,Slim,White,"10,3 mg/prilla · 14 mg/g",vit,Zixs Ice Stark
zixs-ice-stark-original,Zixs,Ice Stark Original,Large,White,"10,3 mg/prilla · 14 mg/g",vit,Zixs Ice Stark Original
zixs-icy-mint-original,Zixs,Icy Mint Original,Large,White,"6,4 mg/prilla · 8 mg/g",vit,Zixs Icy Mint Original
zixs-lemon-rush,Zixs,Lemon Rush,Slim,White,"5,9 mg/prilla · 8 mg/g",vit,Zixs Lemon Rush
zixs-melon-freeze-stark,Zixs,Melon Freeze Stark,Slim,White,"11,8 mg/prilla · 16 mg/g",vit,Zixs Melon Freeze Stark
zixs-melon-freeze-stark-original,Zixs,Melon Freeze Stark Original,Large,White,"12,8 mg/prilla · 16 mg/g",vit,Zixs Melon Freeze Stark Original
zixs-melon-rush-original,Zixs,Melon Rush Original,Large,White,"6,4 mg/prilla · 8 mg/g",vit,Zixs Melon Rush Original
zixs-melon-rush-slim,Zixs,Melon Rush Slim,Slim,White,"5,9 mg/prilla · 8 mg/g",vit,Zixs Melon Rush Slim
zixs-minty-lemon-original,Zixs,Minty Lemon Original,Large,White,"6,4 mg/prilla · 8 mg/g",vit,Zixs Minty Lemon Original
zixs-north-ice-66-stark,Zixs,North Ice -66 Stark,Slim,White,"11,8 mg/prilla · 16 mg/g",vit,Zixs North Ice -66 Stark
zixs-north-ice-66-stark-original,Zixs,North Ice -66 Stark Original,Large,White,"12,8 mg/prilla · 16 mg/g",vit,Zixs North Ice -66 Stark Original
zixs-salmiak-original,Zixs,Salmiak Original,Large,White,"6,4 mg/prilla · 8 mg/g",vit,Zixs Salmiak Original
zixs-salmiak-slim,Zixs,Salmiak Slim,Slim,White,"5,9 mg/prilla · 8 mg/g",vit,Zixs Salmiak Slim
zixs-z-xs-slim-cola-buzz,Zixs,Z!XS Slim Cola Buzz,Slim,White,"11,8 mg/prilla · 16 mg/g",vit,Zixs Z!XS Slim Cola Buzz
zixs-z-xs-slim-exotic-chill,Zixs,Z!XS Slim Exotic Chill,Slim,White,"11,8 mg/prilla · 16 mg/g",vit,Zixs Z!XS Slim Exotic Chill
zone-no-13-sweet-mint-3,Zone,No. 13 Sweet Mint 3,Slim,White,"10 mg/prilla · 14,2 mg/g",vit,Zone No. 13 Sweet Mint 3
zone-no-25-berry-blast-5,Zone,No. 25 Berry Blast 5,Slim,White,"11 mg/prilla · 15,6 mg/g",vit,Zone No. 25 Berry Blast 5
zone-no-3-cool-mint-3,Zone,No. 3 Cool Mint 3,Slim,White,"10 mg/prilla · 14,2 mg/g",vit,Zone No. 3 Cool Mint 3
zone-no-33-juicy-peach-3,Zone,No. 33 Juicy Peach 3,Slim,White,"10 mg/prilla · 14,2 mg/g",vit,Zone No. 33 Juicy Peach 3
zone-no-33-juicy-peach-3-co,Zone,No. 33 Juicy Peach 3 CO,Slim,White,10 mg/prilla,vit,Zone No. 33 Juicy Peach 3 CO
zone-no-5-cool-mint-5,Zone,No. 5 Cool Mint 5,Slim,White,"11 mg/prilla · 15,6 mg/g",vit,Zone No. 5 Cool Mint 5
zone-no15-sweet-mint-ultra,Zone,No15 Sweet Mint Ultra,Slim,White,11 mg/prilla · 15 mg/g,vit,Zone No15 Sweet Mint Ultra
zone-no23-berry-blast-strong,Zone,No23 Berry Blast Strong,Slim,White,"10 mg/prilla · 14,1 mg/g",vit,Zone No23 Berry Blast Strong
zone-no35-juicy-peach-ultra,Zone,No35 Juicy Peach Ultra,Slim,White,"10 mg/prilla · 14,2 mg/g",vit,Zone No35 Juicy Peach Ultra
zone-no53-watermelon-ice-strong,Zone,No53 Watermelon Ice Strong,Slim,White,"10 mg/prilla · 14,1 mg/g",vit,Zone No53 Watermelon Ice Strong
zone-no55-watermelon-ice-ultra,Zone,No55 Watermelon Ice Ultra,Slim,White,"11 mg/prilla · 15,6 mg/g",vit,Zone No55 Watermelon Ice Ultra
zone-no63-orange-razz-strong,Zone,No63 Orange Razz Strong,Slim,White,"10 mg/prilla · 14,2 mg/g",vit,Zone No63 Orange Razz Strong
zone-no65-orange-razz-ultra,Zone,No65 Orange Razz Ultra,Slim,White,"11 mg/prilla · 15,6 mg/g",vit,Zone No65 Orange Razz Ultra
zyn-apple-mint-mini-4,Zyn,Apple Mint Mini 4,Mini,White,6 mg/prilla · 15 mg/g,vit,Zyn Apple Mint Mini 4
zyn-apple-mint-mini-dry-2,Zyn,Apple Mint Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Apple Mint Mini Dry 2
zyn-apple-mint-slim-3,Zyn,Apple Mint Slim 3,Slim,White,"8,9 mg/prilla · 13 mg/g",vit,Zyn Apple Mint Slim 3
zyn-apple-mint-slim-4,Zyn,Apple Mint Slim 4,Slim,White,"10,6 mg/prilla · 15,5 mg/g",vit,Zyn Apple Mint Slim 4
zyn-bellini-mini-dry-2,Zyn,Bellini Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Bellini Mini Dry 2
zyn-black-cherry-mini-dry-2,Zyn,Black Cherry Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Black Cherry Mini Dry 2
zyn-black-cherry-mini-dry-4,Zyn,Black Cherry Mini Dry 4,Mini,White Dry,6 mg/prilla · 15 mg/g,vit,Zyn Black Cherry Mini Dry 4
zyn-black-cherry-s3,Zyn,Black Cherry S3,Slim,White,9 mg/prilla · 10 mg/g,vit,Zyn Black Cherry S3
zyn-black-licorice-mini-dry-2,Zyn,Black Licorice Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Black Licorice Mini Dry 2
zyn-blackcurrant-ice-slim-5,Zyn,Blackcurrant Ice Slim 5,Slim,White,"13,5 mg/prilla · 19,3 mg/g",vit,Zyn Blackcurrant Ice Slim 5
zyn-cactus-spice-slim-3,Zyn,Cactus Spice Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Cactus Spice Slim 3
zyn-cactus-spice-slim-3-co,Zyn,Cactus Spice Slim 3 CO,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Cactus Spice Slim 3 CO
zyn-cactus-spice-slim-4,Zyn,Cactus Spice Slim 4,Slim,White,"10,6 mg/prilla · 15,6 mg/g",vit,Zyn Cactus Spice Slim 4
zyn-citrus-mini-dry-2,Zyn,Citrus Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Citrus Mini Dry 2
zyn-citrus-slim-3,Zyn,Citrus Slim 3,Slim,White,"8,9 mg/prilla · 13 mg/g",vit,Zyn Citrus Slim 3
zyn-citrus-slim-4,Zyn,Citrus Slim 4,Slim,White,"10,6 mg/prilla · 15,5 mg/g",vit,Zyn Citrus Slim 4
zyn-coffee-mini-s2-moist,Zyn,Coffee Mini S2 (moist),Mini,White,6 mg/prilla · 15 mg/g,vit,Zyn Coffee Mini S2 (moist)
zyn-cool-frost-slim-4,Zyn,Cool Frost Slim 4,Slim,White,"10,8 mg/prilla · 15,8 mg/g",vit,Zyn Cool Frost Slim 4
zyn-cool-mint-ice-slim-6,Zyn,Cool Mint Ice Slim 6,Slim,White,"16,5 mg/prilla · 23,6 mg/g",vit,Zyn Cool Mint Ice Slim 6
zyn-cool-mint-mini-dry-2,Zyn,Cool Mint Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Cool Mint Mini Dry 2
zyn-cool-mint-mini-dry-4,Zyn,Cool Mint Mini Dry 4,Mini,White Dry,6 mg/prilla · 15 mg/g,vit,Zyn Cool Mint Mini Dry 4
zyn-cool-mint-slim-2,Zyn,Cool Mint Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Cool Mint Slim 2
zyn-cool-mint-slim-3,Zyn,Cool Mint Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Cool Mint Slim 3
zyn-cool-mint-slim-4,Zyn,Cool Mint Slim 4,Slim,White,"10,6 mg/prilla · 15,6 mg/g",vit,Zyn Cool Mint Slim 4
zyn-cucumber-lime-slim-2,Zyn,Cucumber Lime Slim 2,Slim,White,"6,3 mg/prilla · 9,2 mg/g",vit,Zyn Cucumber Lime Slim 2
zyn-dark-frost-slim-4,Zyn,Dark Frost Slim 4,Slim,White,"11 mg/prilla · 15,7 mg/g",vit,Zyn Dark Frost Slim 4
zyn-dark-roast-limited-edition-4,Zyn,Dark Roast Limited Edition 4,Slim,White,"10,9 mg/prilla · 15,6 mg/g",vit,Zyn Dark Roast Limited Edition 4
zyn-deep-freeze-slim-4,Zyn,Deep Freeze Slim 4,Slim,White,"11 mg/prilla · 15,7 mg/g",vit,Zyn Deep Freeze Slim 4
zyn-espressino-mini-dry-2,Zyn,Espressino Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Espressino Mini Dry 2
zyn-espressino-mini-dry-4,Zyn,Espressino Mini Dry 4,Mini,White Dry,6 mg/prilla · 15 mg/g,vit,Zyn Espressino Mini Dry 4
zyn-gentle-mint-mini-1,Zyn,Gentle Mint Mini 1,Mini,White,"3 mg/prilla · 7,5 mg/g",vit,Zyn Gentle Mint Mini 1
zyn-gentle-mint-slim-2,Zyn,Gentle Mint Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Gentle Mint Slim 2
zyn-lemon-spritz-slim-2,Zyn,Lemon Spritz Slim 2,Slim,White,"6,1 mg/prilla · 9 mg/g",vit,Zyn Lemon Spritz Slim 2
zyn-macchiato-limited-edition-3,Zyn,Macchiato Limited Edition 3,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Macchiato Limited Edition 3
zyn-menthol-ice-slim-5,Zyn,Menthol Ice Slim 5,Slim,White,"13,5 mg/prilla · 19,3 mg/g",vit,Zyn Menthol Ice Slim 5
zyn-menthol-ice-slim-6,Zyn,Menthol Ice Slim 6,Slim,White,"16,5 mg/prilla · 23,6 mg/g",vit,Zyn Menthol Ice Slim 6
zyn-original-mini-2,Zyn,Original Mini 2,Mini,White,"3 mg/prilla · 7,5 mg/g",vit,Zyn Original Mini 2
zyn-original-mini-4,Zyn,Original Mini 4,Mini,White,6 mg/prilla · 15 mg/g,vit,Zyn Original Mini 4
zyn-red-berry-fizz-slim-2,Zyn,Red Berry Fizz Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Red Berry Fizz Slim 2
zyn-red-berry-fizz-slim-2-co,Zyn,Red Berry Fizz Slim 2 CO,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Red Berry Fizz Slim 2 CO
zyn-red-berry-fizz-slim-3,Zyn,Red Berry Fizz Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Red Berry Fizz Slim 3
zyn-red-berry-fizz-slim-4,Zyn,Red Berry Fizz Slim 4,Slim,White,"10,6 mg/prilla · 15,6 mg/g",vit,Zyn Red Berry Fizz Slim 4
zyn-red-fruits-slim-2,Zyn,Red Fruits Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Red Fruits Slim 2
zyn-red-fruits-slim-3,Zyn,Red Fruits Slim 3,Slim,White,"8,8 mg/prilla · 12,9 mg/g",vit,Zyn Red Fruits Slim 3
zyn-spearmint-mini-dry-1,Zyn,Spearmint Mini Dry 1,Mini,White Dry,"1,6 mg/prilla · 4 mg/g",vit,Zyn Spearmint Mini Dry 1
zyn-spearmint-mini-dry-2,Zyn,Spearmint Mini Dry 2,Mini,White Dry,"3 mg/prilla · 7,5 mg/g",vit,Zyn Spearmint Mini Dry 2
zyn-spearmint-slim-2,Zyn,Spearmint Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Spearmint Slim 2
zyn-spearmint-slim-3,Zyn,Spearmint Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Spearmint Slim 3
zyn-violet-licorice-slim-2,Zyn,Violet Licorice Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",vit,Zyn Violet Licorice Slim 2
zyn-violet-licorice-slim-3,Zyn,Violet Licorice Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",vit,Zyn Violet Licorice Slim 3
zyn-watermelon-mint-s2,Zyn,WATERMELON MINT S2,Slim,White,6 mg/prilla · 10 mg/g,vit,Zyn WATERMELON MINT S2
