id,brand,name,format,style,mg,grupp
kaliber-plus-stark-white-portion,Kaliber,Plus Stark White Portion,Large,White,"11,7 mg/prilla · 13 mg/g",48
klint-breeze-mint-2,Klint,Breeze Mint 2,Slim,White,"5,6 mg/prilla · 8 mg/g",49
klint-breeze-mint,Klint,Breeze Mint,Slim,White,"5,6 mg/prilla · 8 mg/g",49
knox-karaktar-blue-stark-white-portion,Knox,Karaktär Blue Stark White Portion,Large,White,"12,2 mg/prilla · 14 mg/g",50
knox-karaktar-blue-white-portion,Knox,Karaktär Blue White Portion,Large,White,"10,5 mg/prilla · 12 mg/g",50
ld-30-original-portionssnus,LD,30 Original Portionssnus,Large,Original,9 mg/prilla · 10 mg/g,51
ld-30-white-portion,LD,30 White Portion,Large,White,8 mg/prilla · 10 mg/g,51
ld-signum-bergamott-vit-stark-portionssnus,LD,Signum Bergamott Vit Stark Portionssnus,Large,White,"12,6 mg/prilla · 14 mg/g",52
ld-signum-vit,LD,Signum Vit,Large,Original,9 mg/prilla · 10 mg/g,52
lewa-classic-liquorice,Lewa,Classic Liquorice,Large,White,"13,5 mg/prilla · 15 mg/g",53
lewa-classic-taste-of-tobacco,Lewa,Classic Taste of Tobacco,Large,White,"13,5 mg/prilla · 15 mg/g",53
loop-fresh-peppermint-mini-hyper-strong-co,Loop,Fresh Peppermint Mini Hyper Strong CO,Mini,White,"10,5 mg/prilla · 24 mg/g",54
loop-fresh-peppermint-mini-hyper-strong,Loop,Fresh Peppermint Mini Hyper Strong,Mini,White,"10,5 mg/prilla · 24 mg/g",54
loop-fresh-spearmint-mini-hyper-strong-co,Loop,Fresh Spearmint Mini Hyper Strong CO,Mini,White,"10,5 mg/prilla · 23 mg/g",55
loop-fresh-spearmint-mini-hyper-strong,Loop,Fresh Spearmint Mini Hyper Strong,Mini,White,"10,5 mg/prilla · 23 mg/g",55
loop-hot-mango-extra-strong,Loop,Hot Mango Extra Strong,Slim,White,"12,5 mg/prilla · 20 mg/g",56
loop-hot-mango-stark,Loop,Hot Mango Stark,Slim,White,"9,4 mg/prilla · 15 mg/g",56
loop-jalapeno-lime-extra-stark,Loop,Jalapeño Lime Extra Stark,Slim,White,"12,5 mg/prilla · 20 mg/g",57
loop-jalapeno-lime-stark,Loop,Jalapeño Lime Stark,Slim,White,"9,4 mg/prilla · 15 mg/g",57
loop-licorice-fusion-extra-strong,Loop,Licorice Fusion Extra Strong,Slim,White,"12,5 mg/prilla · 20 mg/g",58
loop-licorice-fusion-stark,Loop,Licorice Fusion Stark,Slim,White,"9,4 mg/prilla · 15 mg/g",58
loop-red-chili-melon-extra-stark,Loop,Red Chili Melon Extra Stark,Slim,White,"12,5 mg/prilla · 20 mg/g",59
loop-red-chili-melon-stark,Loop,Red Chili Melon Stark,Slim,White,"9,4 mg/prilla · 15 mg/g",59
loop-smooth-mint-extra-strong,Loop,Smooth Mint Extra Strong,Slim,White,"12,5 mg/prilla · 20 mg/g",60
loop-smooth-mint-strong,Loop,Smooth Mint Strong,Slim,White,"9,4 mg/prilla · 15 mg/g",60
loop-smooth-mint-hyper-strong,Loop,Smooth Mint Hyper Strong,Slim,White,"15,6 mg/prilla · 25 mg/g",61
loop-smooth-mint-mini-hyper-strong,Loop,Smooth Mint Mini Hyper Strong,Slim,White,"11,3 mg/prilla · 25 mg/g",61
lundgrens-mork-stark,Lundgrens,Mörk Stark,Large,White,"10 mg/prilla · 12,5 mg/g",62
lundgrens-mork,Lundgrens,Mörk,Large,White,8 mg/prilla · 10 mg/g,62
lundgrens-norrland-stark-white-portion,Lundgrens,Norrland Stark White Portion,Large,White,"15,1 mg/prilla · 17,3 mg/g",63
lundgrens-norrland-white-portion,Lundgrens,Norrland White Portion,Large,White,"7,3 mg/prilla · 10 mg/g",63
nick-johnny-crushed-ice-extra-strong-portion,Nick & Johnny,Crushed Ice Extra Strong Portion,Large,Original,"16,5 mg/prilla · 15 mg/g",64
nick-johnny-crushed-ice-extra-strong-white,Nick & Johnny,Crushed Ice Extra Strong White,Large,White,12 mg/prilla · 12 mg/g,64
skruf-no-22-original-white-portion,Skruf,No. 22 Original White Portion,Large,White,"10,8 mg/prilla · 12 mg/g",65
skruf-no-25-original-slim-white-portion,Skruf,No. 25 Original Slim White Portion,Slim,White,"10,4 mg/prilla · 15 mg/g",65
skruf-no-28-stark-portion,Skruf,No. 28 Stark Portion,Large,Original,"14,4 mg/prilla · 16 mg/g",66
skruf-no-29-extra-stark-portion,Skruf,No. 29 Extra Stark Portion,Large,Original,"17,1 mg/prilla · 19 mg/g",66
skruf-super-white-no-53-fresh-mint-3-stark,Skruf Super White,No. 53 Fresh Mint #3 Stark,Slim,White,"9,4 mg/prilla · 13 mg/g",67
skruf-super-white-no-54-fresh-mint-4-extra-stark,Skruf Super White,No. 54 Fresh Mint #4 Extra Stark,Slim,White,13 mg/prilla · 18 mg/g,67
skruf-super-white-no-56-nordic-liquorice-2,Skruf Super White,No. 56 Nordic Liquorice #2,Slim,White,"5,8 mg/prilla · 8 mg/g",68
skruf-super-white-no-58-nordic-liquorice-4-extra-stark,Skruf Super White,No. 58 Nordic Liquorice #4 Extra Stark,Slim,White,13 mg/prilla · 18 mg/g,68
smalands-brukssnus-portion,Smålands Brukssnus,Portion,Large,Original,"9,9 mg/prilla · 13 mg/g",69
smalands-brukssnus-white-portion,Smålands Brukssnus,White Portion,Large,White,"8,4 mg/prilla · 14 mg/g",69
sting-free-stingfree-ocean-mint-strong,Sting Free,Stingfree Ocean Mint Strong,Slim,White,11 mg/prilla · 20 mg/g,70
sting-free-stingfree-ocean-mint,Sting Free,Stingfree Ocean Mint,Slim,White,"5,5 mg/prilla · 10 mg/g",70
valkyria-pictish-spearmint-2-co,Valkyria,Pictish Spearmint 2 CO,Slim,White,"6,5 mg/prilla · 10 mg/g",71
valkyria-pictish-spearmint-2,Valkyria,Pictish Spearmint 2,Slim,White,"6,5 mg/prilla · 10 mg/g",71
valkyria-pictish-spearmint-4-co,Valkyria,Pictish Spearmint 4 CO,Slim,White,"9 mg/prilla · 13,8 mg/g",72
valkyria-pictish-spearmint-4,Valkyria,Pictish Spearmint 4,Slim,White,"9 mg/prilla · 13,8 mg/g",72
vargarda-bar-stark,Vårgårda,Bär Stark,Large,White,14 mg/prilla · 14 mg/g,73
vargarda-bar-white-portion,Vårgårda,Bär White Portion,Large,White,10 mg/prilla · 10 mg/g,73
vargarda-gryning-limited-edition,Vårgårda,Gryning Limited Edition,Large,White,10 mg/prilla · 10 mg/g,74
vargarda-gryning,Vårgårda,Gryning,Large,White,10 mg/prilla · 10 mg/g,74
velo-freezing-peppermint-14,Velo,Freezing Peppermint 14,Slim,White,14 mg/prilla · 20 mg/g,75
velo-freezing-peppermint-17,Velo,Freezing Peppermint 17,Slim,White,"17 mg/prilla · 24,3 mg/g",75
velo-mclaren-sweet-papaya-limited-edition,Velo,McLaren Sweet Papaya Limited Edition,Slim,White,"8 mg/prilla · 11,4 mg/g",76
velo-sweet-blackcurrant-limited-edition,Velo,Sweet Blackcurrant Limited Edition,Slim,White,"8 mg/prilla · 11,4 mg/g",76
velo-shift-cool-peppermint,Velo,Shift Cool Peppermint,Slim,White,8 mg/prilla · 5 mg/g,77
velo-shift-hot-spearmint,Velo,Shift Hot Spearmint,Slim,White,8 mg/prilla · 5 mg/g,77
vid-coffee-caramel-stark,Vid,Coffee Caramel Stark,Slim,White,"9,6 mg/prilla · 16 mg/g",78
vid-coffee-caramel,Vid,Coffee Caramel,Slim,White,"7,2 mg/prilla · 12 mg/g",78
vid-cola-sour-stark,Vid,Cola Sour Stark,Slim,White,"9,6 mg/prilla · 16 mg/g",79
vid-cola-sour,Vid,Cola Sour,Slim,White,"7,2 mg/prilla · 12 mg/g",79
vid-perfect-pear-stark,Vid,Perfect Pear Stark,Slim,White,"11,2 mg/prilla · 16 mg/g",80
vid-perfect-pear,Vid,Perfect Pear,Slim,White,"8,4 mg/prilla · 12 mg/g",80
vid-vanilla-pear-stark,Vid,Vanilla Pear Stark,Slim,White,"9,6 mg/prilla · 16 mg/g",81
vid-vanilla-pear,Vid,Vanilla Pear,Slim,White,"7,2 mg/prilla · 12 mg/g",81
vont-juicy-berry-normalstark,Vont,Juicy Berry normalstark,Slim,White,"6 mg/prilla · 8,6 mg/g",82
vont-juicy-berry-stark,Vont,Juicy Berry Stark,Slim,White,"12 mg/prilla · 17,1 mg/g",82
vont-sweet-melon-stark,Vont,Sweet Melon Stark,Slim,White,"12 mg/prilla · 17,1 mg/g",83
vont-sweet-melon,Vont,Sweet Melon,Slim,White,"6 mg/prilla · 8,6 mg/g",83
xqs-arctic-freeze-slim,XQS,Arctic Freeze Slim,Slim,White,"9,6 mg/prilla · 16 mg/g",84
xqs-arctic-freeze-stark,XQS,Arctic Freeze Stark,Slim,White,"11,2 mg/prilla · 16 mg/g",84
xqs-black-cherry-4mg,XQS,Black Cherry 4mg,Slim,White,4 mg/prilla · 8 mg/g,85
xqs-black-cherry,XQS,Black Cherry,Slim,White,8 mg/prilla · 16 mg/g,85
xqs-orange-apple-4mg,XQS,Orange Apple 4mg,Slim,White,4 mg/prilla · 8 mg/g,86
xqs-orange-apple,XQS,Orange Apple,Slim,White,8 mg/prilla · 16 mg/g,86
zafari-sauna-tar-mild,Zafari,Sauna Tar Mild,Slim,White,4 mg/prilla · 8 mg/g,87
zafari-sauna-tar,Zafari,Sauna Tar,Slim,White,6 mg/prilla · 12 mg/g,87
zixs-ice-stark-original,Zixs,Ice Stark Original,Large,White,"10,3 mg/prilla · 14 mg/g",88
zixs-ice-stark,Zixs,Ice Stark,Slim,White,"10,3 mg/prilla · 14 mg/g",88
zixs-melon-freeze-stark-original,Zixs,Melon Freeze Stark Original,Large,White,"12,8 mg/prilla · 16 mg/g",89
zixs-melon-freeze-stark,Zixs,Melon Freeze Stark,Slim,White,"11,8 mg/prilla · 16 mg/g",89
zixs-melon-rush-original,Zixs,Melon Rush Original,Large,White,"6,4 mg/prilla · 8 mg/g",90
zixs-melon-rush-slim,Zixs,Melon Rush Slim,Slim,White,"5,9 mg/prilla · 8 mg/g",90
zixs-north-ice-66-stark-original,Zixs,North Ice -66 Stark Original,Large,White,"12,8 mg/prilla · 16 mg/g",91
zixs-north-ice-66-stark,Zixs,North Ice -66 Stark,Slim,White,"11,8 mg/prilla · 16 mg/g",91
zixs-salmiak-original,Zixs,Salmiak Original,Large,White,"6,4 mg/prilla · 8 mg/g",92
zixs-salmiak-slim,Zixs,Salmiak Slim,Slim,White,"5,9 mg/prilla · 8 mg/g",92
zone-no-25-berry-blast-5,Zone,No. 25 Berry Blast 5,Slim,White,"11 mg/prilla · 15,6 mg/g",93
zone-no23-berry-blast-strong,Zone,No23 Berry Blast Strong,Slim,White,"10 mg/prilla · 14,1 mg/g",93
zone-no-33-juicy-peach-3-co,Zone,No. 33 Juicy Peach 3 CO,Slim,White,10 mg/prilla,94
zone-no-33-juicy-peach-3,Zone,No. 33 Juicy Peach 3,Slim,White,"10 mg/prilla · 14,2 mg/g",94
zyn-citrus-slim-3,Zyn,Citrus Slim 3,Slim,White,"8,9 mg/prilla · 13 mg/g",95
zyn-citrus-slim-4,Zyn,Citrus Slim 4,Slim,White,"10,6 mg/prilla · 15,5 mg/g",95
zyn-cool-frost-slim-4,Zyn,Cool Frost Slim 4,Slim,White,"10,8 mg/prilla · 15,8 mg/g",96
zyn-dark-frost-slim-4,Zyn,Dark Frost Slim 4,Slim,White,"11 mg/prilla · 15,7 mg/g",96
zyn-cool-mint-slim-2,Zyn,Cool Mint Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",97
zyn-cool-mint-slim-3,Zyn,Cool Mint Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",97
zyn-espressino-mini-dry-4,Zyn,Espressino Mini Dry 4,Mini,White Dry,6 mg/prilla · 15 mg/g,98
zyn-original-mini-4,Zyn,Original Mini 4,Mini,White,6 mg/prilla · 15 mg/g,98
zyn-spearmint-slim-2,Zyn,Spearmint Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",99
zyn-spearmint-slim-3,Zyn,Spearmint Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",99
zyn-violet-licorice-slim-2,Zyn,Violet Licorice Slim 2,Slim,White,"6 mg/prilla · 8,8 mg/g",100
zyn-violet-licorice-slim-3,Zyn,Violet Licorice Slim 3,Slim,White,"9 mg/prilla · 13,2 mg/g",100
